학번,학년,반,성별,동아리,통학방법,주당공부시간,평균수면시간,하루스마트폰사용시간,주당운동시간,연간독서량,월평균용돈,국어,영어,수학,과학,사회,평균,3월모의고사평균,6월모의고사평균,9월모의고사평균,10월모의고사평균
S021,1,6,여,코딩반,지하철,12.4,8.4,2.4,2,10,32000,64,70,70,84,62,70,59,64,63,70
S022,3,4,여,미술부,도보,12.7,6.7,3.5,2,6,25000,82,72,56,61,71,68.4,64,70,72,75
S023,3,6,남,코딩반,자전거,8.7,5.5,4.9,4.7,3,55000,68,71,68,58,62,65.4,56,56,60,63
S024,3,3,남,코딩반,지하철,14.2,5.7,3.9,1.1,11,42000,79,69,84,55,79,73.2,64,74,74,81
S025,1,4,남,밴드부,지하철,12.8,6.9,4.9,2.6,6,21000,79,61,82,65,81,73.6,69,68,69,77
S026,2,4,남,보드게임부,도보,9.6,6.8,0.9,3.7,5,65000,63,61,75,88,68,71,74,68,70,69
S027,2,3,남,코딩반,도보,12.2,5.9,2.9,3.2,6,58000,75,77,61,83,78,74.8,63,73,71,75
S028,3,4,여,코딩반,버스,5,5.4,3.8,4.4,7,78000,71,51,50,53,67,58.4,58,59,61,58
S029,1,4,남,보드게임부,도보,9.2,8,3.5,0.4,9,49000,80,63,57,57,67,64.8,49,52,52,49
S030,2,6,남,방송댄스부,도보,10.8,6.3,0.9,3,4,52000,80,76,73,68,83,76,69,82,93,98
S031,2,2,남,방송댄스부,지하철,10,6.4,4.5,3.5,8,21000,61,74,74,78,65,70.4,55,64,64,59
S032,3,6,남,축구부,버스,16.1,6,3.6,3.5,7,78000,79,84,50,83,70,73.2,73,79,84,87
S033,2,2,여,보드게임부,지하철,10.9,7.9,2.6,3.9,4,62000,70,53,70,85,64,68.4,65,73,78,82
S034,2,2,여,보드게임부,도보,11.1,7.6,4.6,1.2,6,68000,70,53,65,64,78,66,65,64,61,67
S035,2,2,여,미술부,지하철,6,5.5,1.1,5.2,10,45000,76,64,61,67,61,65.8,52,59,56,52
S036,2,6,남,보드게임부,도보,9.4,6.4,2.6,3.7,5,49000,58,69,69,63,63,64.4,61,70,71,75
S037,1,2,여,미술부,자전거,7.6,5.6,4.3,3.8,8,57000,70,61,47,63,75,63.2,52,59,65,66
S038,1,5,남,축구부,부모님차,17,8.4,3.7,2.1,5,35000,82,87,86,77,80,82.4,72,74,74,83
S039,1,4,여,요리부,지하철,8.8,6.9,2.9,3.3,6,34000,61,77,64,66,67,67,62,46,46,44
S040,1,4,남,방송댄스부,버스,10.4,6.2,3,5,4,90000,80,64,62,76,63,69,66,72,60,56
S041,3,1,남,밴드부,도보,13.6,6.2,2.9,3,7,57000,70,72,71,71,76,72,65,69,70,75
S042,2,4,남,미술부,자전거,12,7,4.2,3.3,10,36000,72,76,61,70,62,68.2,56,57,62,60
S043,1,1,남,코딩반,버스,5.8,6.3,2.8,3.5,10,21000,44,66,56,56,67,57.8,45,52,57,53
S044,2,4,남,요리부,도보,11.9,8,4,0.6,8,26000,80,56,71,83,72,72.4,73,77,82,89
S045,1,5,남,미술부,버스,12.1,5.6,0.7,2.7,13,56000,73,59,59,91,73,71,67,71,72,76
S046,2,6,여,코딩반,도보,9.5,5.3,4.7,4,9,31000,65,44,55,85,69,63.6,60,56,58,44
S047,3,6,여,보드게임부,버스,11.4,7.9,6.1,2.3,8,28000,80,61,55,76,74,69.2,74,70,77,74
S048,1,2,여,보드게임부,지하철,10.3,6.1,3.8,2.9,4,46000,54,58,62,69,55,59.6,47,52,54,50
S049,2,5,남,방송댄스부,자전거,5.8,7.9,3.1,3,9,57000,71,51,51,55,57,57,64,67,58,63
S050,2,4,여,축구부,도보,8.3,7.4,2.6,0.6,6,75000,77,48,43,58,74,60,71,75,83,92
S051,3,5,여,미술부,도보,10.1,5.1,4,4.2,6,33000,53,62,66,68,68,63.4,65,69,67,79
S052,2,5,남,코딩반,버스,8.2,5.9,2.4,1,8,36000,70,48,72,57,75,64.4,61,66,76,82
S053,1,3,여,코딩반,도보,11.6,6.5,2.2,3.6,10,57000,70,57,61,80,86,70.8,59,62,73,70
S054,1,1,여,축구부,부모님차,13,6.3,0.6,2.8,7,40000,68,70,76,79,87,76,74,78,85,81
S055,2,5,남,축구부,자전거,10.8,6.8,3.5,2.5,6,66000,60,69,57,59,78,64.6,54,58,66,63
S056,2,4,남,방송댄스부,지하철,8.9,5.9,2.9,3.1,7,40000,75,63,63,67,69,67.4,59,67,79,83
S057,1,1,남,코딩반,도보,14.1,6.4,2.9,4.1,10,23000,85,78,70,84,84,80.2,70,70,67,75
S058,2,3,여,코딩반,도보,10.4,7.5,3.2,4.2,6,35000,61,64,74,81,65,69,63,70,74,66
S059,2,1,여,방송댄스부,부모님차,11.1,7.8,2.4,2.4,9,19000,64,63,61,74,73,67,67,73,77,82
S060,1,5,남,보드게임부,도보,7.7,5.7,3.4,2.8,8,39000,73,56,64,72,65,66,55,59,57,64
S061,3,3,남,요리부,도보,9.3,6.3,1.9,1.7,12,59000,90,56,57,73,66,68.4,54,55,68,72
S062,1,1,여,방송댄스부,자전거,13,6.4,3.1,0.8,3,51000,61,69,64,70,67,66.2,52,57,57,75
S063,3,2,남,보드게임부,버스,12.2,5.2,2.9,4.4,6,47000,61,79,69,75,76,72,58,65,64,69
S064,3,4,여,미술부,버스,9.4,7.4,1.2,1.4,8,24000,62,73,49,72,58,62.8,46,44,48,50
S065,3,4,남,요리부,버스,10,7.1,1.7,1.9,5,34000,63,73,57,66,55,62.8,49,52,60,65
S066,3,6,여,축구부,지하철,10.6,7,2.5,3.6,14,42000,81,69,73,74,79,75.2,75,78,78,77
S067,2,3,남,축구부,버스,7.2,6.4,2.5,1,11,55000,59,62,51,66,70,61.6,50,50,50,47
S068,2,4,여,보드게임부,자전거,9.4,7.4,3.5,3.7,7,100000,87,63,47,72,75,68.8,62,62,68,72
S069,1,6,여,축구부,버스,8.5,7.5,2.7,1.7,7,36000,72,52,46,68,67,61,46,41,37,45
S070,2,2,남,방송댄스부,도보,5.8,7.7,3.1,1.3,7,68000,73,46,55,64,69,61.4,54,51,50,51
S071,2,1,여,미술부,도보,10.5,6.3,2.7,2.1,6,26000,76,57,59,55,67,62.8,44,39,38,45
S072,3,4,여,코딩반,지하철,9.6,6.8,0.5,1.7,8,29000,64,76,67,93,67,73.4,61,61,62,62
S073,3,4,남,코딩반,도보,5.6,6.1,3.1,3.4,9,10000,53,51,26,70,56,51.2,57,57,59,69
S074,2,3,여,미술부,지하철,7.6,6.2,2.2,5.1,8,34000,75,67,51,71,82,69.2,58,58,70,73
S075,2,4,여,방송댄스부,지하철,9.7,7.5,3,4,5,70000,80,53,55,86,62,67.2,66,71,79,84
S076,2,5,남,방송댄스부,부모님차,1.3,6.6,2.3,3.7,6,49000,63,48,53,67,73,60.8,56,58,61,67
S077,2,5,남,축구부,도보,10.6,6.3,4,2.1,14,74000,70,54,71,74,60,65.8,57,56,58,53
S078,3,1,여,코딩반,도보,10.8,7.1,3.1,2.6,7,39000,72,71,71,77,63,70.8,59,58,65,66
S079,1,3,남,미술부,지하철,11.9,7.2,4,3.1,6,71000,73,84,45,87,81,74,74,71,76,87
S080,1,2,남,밴드부,버스,8.2,5.7,4.1,2.9,8,38000,56,48,65,69,71,61.8,53,55,62,64
S081,2,3,여,축구부,도보,5.7,5.9,2.5,3.2,7,67000,66,60,67,52,69,62.8,64,66,76,85
S082,3,1,남,미술부,자전거,11.9,7.2,4.2,1.2,8,82000,71,58,57,58,63,61.4,49,60,58,64
S083,2,3,여,축구부,지하철,5.9,7,3.5,5.6,9,45000,50,63,56,76,72,63.4,56,67,59,52
S084,1,1,여,축구부,도보,11.6,6.3,1.9,0.9,8,22000,51,84,72,72,65,68.8,64,74,77,83
S085,1,6,남,코딩반,도보,8,7.7,3.1,2.7,4,86000,65,56,54,72,70,63.4,58,71,74,71
S086,1,4,남,밴드부,자전거,7,6.4,3.3,4.2,13,32000,49,68,57,65,60,59.8,44,41,45,48
S087,1,3,여,요리부,버스,10.9,4.6,4.7,1.8,8,38000,50,62,53,74,82,64.2,52,58,58,58
S088,3,2,여,미술부,부모님차,13.4,5.7,2.8,4.5,10,43000,60,64,72,68,77,68.2,59,66,68,70
S089,2,6,여,보드게임부,버스,9.5,5,5.1,0.8,12,68000,69,56,56,71,78,66,53,58,64,66
S090,1,4,여,요리부,도보,9.3,7.6,4.1,1.8,9,63000,68,72,62,48,67,63.4,59,73,79,82
S091,2,6,남,밴드부,도보,4.9,7,0.7,0,8,62000,66,63,75,63,60,65.4,61,77,87,87
S092,2,4,남,축구부,버스,12.5,6.6,2,4.5,8,44000,88,69,59,63,62,68.2,48,56,48,43
S093,2,6,남,미술부,지하철,10.2,4.2,3.9,1.1,11,46000,74,62,73,70,71,70,51,57,52,49
S094,2,6,여,코딩반,도보,9.2,5,1.5,1.9,9,66000,83,60,65,72,79,71.8,56,53,63,70
S095,2,5,여,코딩반,버스,13.9,6.3,3.8,4.1,5,83000,76,76,70,74,78,74.8,68,65,71,82
S096,1,3,남,요리부,버스,5.3,4.7,4.9,3.4,8,24000,71,73,28,62,57,58.2,62,69,76,79
S097,1,5,여,요리부,지하철,8.5,7.4,2.9,4.5,3,75000,81,60,70,52,64,65.4,55,58,60,66
S098,3,2,남,축구부,도보,10,6.4,4.9,3.9,11,69000,85,52,48,58,65,61.6,55,51,52,59
S099,3,6,여,방송댄스부,자전거,9.1,6.4,4.8,4.2,5,63000,65,63,48,65,67,61.6,47,49,53,48
S100,2,2,남,미술부,버스,2.7,6.4,3.1,2.2,12,36000,50,57,45,63,67,56.4,42,47,45,38
S101,2,1,여,방송댄스부,자전거,11,5.5,3.2,2.8,8,52000,72,76,61,74,72,71,51,59,54,56
S102,2,1,여,밴드부,자전거,9.9,5.5,3.4,4,4,57000,81,52,53,54,75,63,55,57,54,47
S103,1,3,여,축구부,자전거,13,4.6,3.7,4,10,37000,86,71,82,85,76,80,78,80,84,85
S104,2,4,여,보드게임부,도보,16.1,6.5,1.3,4.3,10,73000,81,70,86,80,70,77.4,67,70,76,71
S105,2,2,남,요리부,자전거,9.4,6.9,3,1.8,9,40000,72,76,86,84,70,77.6,78,82,93,92
S106,2,5,남,밴드부,도보,11.2,6.3,1.2,1.3,5,81000,87,76,61,80,64,73.6,67,64,69,67
S107,3,2,여,보드게임부,버스,10.8,6.2,2.8,1,6,20000,73,64,57,82,71,69.4,61,68,73,78
S108,2,3,여,축구부,도보,10.5,5.6,2.9,2.2,8,22000,76,54,84,76,74,72.8,68,82,93,92
S109,3,3,남,방송댄스부,버스,9.6,6.8,1,2.8,12,12000,79,84,53,67,65,69.6,65,72,71,67
S110,2,4,여,방송댄스부,도보,11.2,4,1.7,1.1,6,64000,71,67,71,71,61,68.2,67,63,61,63
S111,1,2,여,축구부,부모님차,13.4,5.4,2.7,2.6,9,32000,68,79,68,83,75,74.6,62,65,65,82
S112,3,6,여,요리부,도보,7.5,5.8,5.8,3.9,6,33000,84,38,50,60,64,59.2,37,31,34,38
S113,3,6,여,축구부,버스,15.7,6,1.5,4.4,8,68000,74,78,64,63,86,73,66,60,73,65
S114,2,5,남,보드게임부,자전거,11.5,6.7,3.3,2,6,85000,63,73,59,72,66,66.6,55,61,62,64
S115,3,4,남,보드게임부,도보,10.9,6.3,2.1,3.8,8,35000,70,47,86,74,84,72.2,64,67,77,92
S116,2,5,남,보드게임부,지하철,3.3,6.7,2.7,1,9,77000,63,56,51,64,68,60.4,62,62,63,66
S117,3,3,여,보드게임부,버스,10,7.7,4.4,1.9,4,61000,71,74,76,75,57,70.6,56,49,54,62
S118,1,6,여,코딩반,지하철,7.1,7.9,3.6,3.1,11,50000,63,45,50,83,61,60.4,57,54,60,68
S119,1,1,남,방송댄스부,지하철,11.7,7.1,3.7,1.9,8,26000,76,65,67,58,71,67.4,65,69,75,83
S120,3,2,여,방송댄스부,자전거,12.9,7.7,3.8,1.7,12,22000,87,65,74,89,71,77.2,72,75,82,89
S121,3,3,남,미술부,자전거,13.4,8.2,3.9,3.3,5,51000,71,63,75,80,66,71,70,76,76,79
S122,2,4,남,미술부,지하철,9.5,6.9,0.6,1.4,10,52000,72,61,65,72,57,65.4,55,66,76,77
S123,3,5,남,밴드부,버스,9.8,5.1,3.7,3.1,8,36000,81,55,62,57,66,64.2,52,53,61,62
S124,1,5,여,코딩반,도보,11.3,7.5,3.1,2.7,3,30000,63,59,77,72,69,68,66,71,70,73
S125,3,6,남,요리부,도보,3.7,5.5,3.7,3.7,5,23000,51,52,52,65,67,57.4,54,56,62,66
S126,2,6,남,코딩반,자전거,8.7,8.4,4.2,4,9,57000,61,61,41,66,69,59.6,60,61,59,55
S127,1,6,여,방송댄스부,도보,8.4,8.2,3.7,3.1,6,63000,66,48,53,63,59,57.8,51,53,56,57
S128,1,3,남,코딩반,자전거,11.6,6,4,2.2,3,64000,79,60,54,66,77,67.2,69,77,74,76
S129,1,5,여,축구부,버스,8.6,5.4,1.8,4.4,12,62000,56,65,46,62,64,58.6,49,47,54,57
S130,3,5,남,코딩반,도보,12.2,5.8,3.7,3.2,7,39000,67,78,75,78,79,75.4,61,70,88,88
S131,2,4,남,방송댄스부,도보,9.4,6.4,3.1,1.6,13,82000,60,74,73,74,65,69.2,49,59,69,75
S132,3,4,남,밴드부,버스,12.6,7.8,3.1,3.2,9,30000,60,68,61,82,68,67.8,53,56,63,64
S133,2,4,남,축구부,도보,16.7,5.3,4.8,2,15,61000,66,74,71,71,76,71.6,69,73,71,71
S134,1,3,남,밴드부,버스,14.7,7.4,2.6,0,8,42000,83,60,94,89,81,81.4,65,61,66,62
S135,1,1,남,미술부,자전거,12.8,4.4,2.4,1.5,8,27000,75,71,69,97,75,77.4,67,82,91,89
S136,2,1,여,방송댄스부,버스,13.4,7.7,1.6,2.3,7,37000,77,55,72,77,64,69,74,82,85,88
S137,3,1,남,코딩반,버스,8.9,6.4,2.8,2.2,8,61000,74,59,65,79,76,70.6,68,72,76,79
S138,3,3,여,요리부,부모님차,7.7,6.7,4.5,0.6,8,72000,69,46,69,53,61,59.6,62,65,60,52
S139,3,3,여,요리부,도보,7.5,6.4,1.2,2.4,4,56000,72,56,67,89,57,68.2,54,59,58,65
S140,1,6,남,보드게임부,버스,10.6,7.4,3.5,3.5,8,5000,86,66,74,76,56,71.6,49,49,43,41
S141,2,2,남,축구부,부모님차,14.4,6.9,0.5,1.2,11,65000,84,78,68,90,87,81.4,82,86,99,96
S142,2,2,남,요리부,버스,7.8,8.2,2.4,3.3,4,7000,45,73,69,70,80,67.4,51,49,54,62
S143,2,1,여,코딩반,지하철,11.4,4.7,3.7,0,4,88000,76,67,64,57,66,66,59,64,71,79
S144,2,1,남,보드게임부,버스,6.3,5.6,2.6,3.7,10,54000,74,54,48,69,64,61.8,55,55,57,55
S145,1,4,남,밴드부,도보,6.4,5.2,1.8,2,9,53000,71,66,64,66,66,66.6,53,60,56,56
S146,3,3,여,축구부,지하철,12.6,7.2,2.8,0.9,6,70000,69,54,95,82,63,72.6,74,76,80,76
S147,2,4,여,코딩반,부모님차,7.9,4.8,4.4,4.6,7,44000,57,74,59,58,67,63,64,68,68,74
S148,3,1,여,요리부,부모님차,7.9,8.9,5,3.6,7,45000,66,38,66,37,70,55.4,51,69,67,74
S149,3,5,여,미술부,지하철,15.9,6.6,5,4.3,12,42000,81,77,69,76,71,74.8,67,74,77,77
S150,3,2,남,보드게임부,버스,10.2,7.7,4,3.4,6,52000,77,68,46,66,71,65.6,59,63,67,76
